cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
																			
SNU-398	SNU-398	GNE:586250	"X,Y"	13	11	"10,14"	15	0	29	0	17	12	"10,11"	12	23	E	"7,9"	11	"17,18"
																			
NCI-H322T	NCI-H322T	GNE:585717	X	12	12	"11,12"	17	0	28	0	15	11	11	"12,15"	22	E	7	8	17
																			
RCH-ACV	RCH-ACV	DSM:ACC-548	X	"10,11"	"9,14"	11	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"6,8"	"8,11"	"16,17"
																			
KYSE-140	KYSE-140	GNE:586696	X	13	12	"10,12"	14	0	29	0	18	10	10	10	"22,23"	E	"7,9"	8	14
																			
8505C	8505C	GNE:586950	X	"12,13"	13	12	16	"13,14"	"28,32.2"	"17,24"	"16,17"	"10,11"	10	"10,13"	23	E	6	11	"17,19"
																			
WSS-1	293	ATCC:CRL-2029	X	12	"12,14"	"9,13"	0	0	0	0	0	8	"11,12"	0	0	0	"7,9.3"	11	"16,19"
																			
Hs 94.T	Hs 94.T	ATCC:CRL-7064	X	"10,11"	"12,13"	"9,12"	0	0	0	0	0	"11,12"	"8,9"	0	0	0	"7,9.3"	8	"17,18"
																			
RKO-E6	RKO-E6	ATCC:CRL-2578	X	"8,11"	"8,12"	"13,13.1"	"11,13"	0	"28,30"	0	"16,19"	"12,13"	"8,10"	"9,13,14"	"19,22"	E	"6.2,10"	"10,11"	16
																			
MOLT-4	MOLT-4	GNE:587169	"X,Y"	"11,12,13"	"12,13"	"11,14,15"	"13,17"	0	"27,28,29,30,31"	0	"14,16"	"12,13"	"8,10,11"	"9,13,14,15"	"21,22,23,24,25"	E	"6,8"	8	"17,18"
																			
KARPAS-231	KARPAS-231	DSM:ACC-562	X	"11,14"	"8,12"	"11,13"	0	0	0	0	0	12	"8,9"	0	0	0	"8,9.3"	"8,9"	18
																			
RT4	RT4	GNE:586331	"X,Y"	"10,12"	8	9	"15,17"	0	"30,32.2"	0	15	"11,12"	"9,12"	"13,15"	"22,24"	E	"9,9.3"	"8,11"	"14,17"
																			
CLN H11.4	0	ATCC:HB-8307	"X,Y"	"10,11,12"	11	"9,11,12"	0	0	0	0	0	"10,11,12,13"	"9,11"	0	0	0	"6,7,8,9.3"	"8,11"	"14,17,19,20"
																			
DV-90	DV-90	GNE:586314	X	"10,12"	"10,12"	"11,12"	"13,14"	0	"31,31.2"	0	"13,16"	"11,13"	"11,14"	"14,16"	"22,24"	E	"7,8"	8	"14,15"
																			
JHH-6	JHH-6	GNE:586597	X	"10,12"	"11,12,13"	10	20	13	"31,32.2"	"19,24"	17	"10,11"	11	"12,13"	22	E	"7,9"	"8,9"	"14,18"
																			
ASF-4-1	ASF-4-1	JCRB:IFO50418	"X,Y"	"10,13"	"11,12"	"10,11"	0	0	0	0	0	"9,10"	"10,11"	0	0	0	"8,9"	11	"17,18"
																			
HT	HT	GNE:132490	"X,Y"	10	"13,14"	"11,13"	"12,19"	0	"29,31.2"	0	"15,16"	"11,13"	"8,10"	"10,13"	"21,22.2"	E	"6,7"	11	"17,18"
																			
KNS-62	KNS-62	GNE:132336	X	"9,12"	11	"9,11"	0	0	32	0	15	9	11	"13,14"	23	E	"7,9"	8	17
																			
TYK-nu	TYK-nu	GNE:586716	X	12	"10,11"	"9,10"	13	0	32.2	0	15	"12,13"	10	"10,15"	24	E	9	"9,11"	"14,16"
																			
GF-D8	GF-D8	DSM:ACC-615	"X,Y"	11	"8,11"	"11,13"	0	0	0	0	0	12	"10,11"	0	0	0	7	"8,11"	15
																			
NCI-H711	NCI-H711	ATCC:CRL-5836	X	"10,12"	12	"11,12"	0	0	0	0	0	12	"9,13"	0	0	0	"9,9.3"	11	17
																			
SBC-2	HeLa	DSM:ACC-228	X	"9,10"	"12,13.3"	"9,10"	0	0	0	0	0	"11,12"	12	0	0	0	7	"8,12"	"16,18"
																			
TGBC24TKB	TGBC24TKB	RCB:1196	X	"12,13"	12	"9,10"	0	0	0	0	0	11	"10,11"	0	0	0	6	8	16
																			
HCC850	HCC850	GNE:586413	X	11	12	9	"16,17"	0	"28,33.2"	0	16	"11,12"	11	14	24	E	"7,9.3"	"8,9"	"15,18"
																			
Hs 215.Sp	Hs 215.Sp	ATCC:CRL-7176	X	"9,12"	"12,13"	"10,11"	0	0	0	0	0	"8,9"	11	0	0	0	7	"8,12"	"15,18"
																			
MM127	0	0	"X,Y"	"10,11"	"12,13"	"10,13"	"15,20"	"13,14"	29	"19,20"	"15,17"	"11,12"	"10,11"	"14,15"	"19,20"	0	"8,9"	"11,12"	"16,18"
																			
SW 756	SW 756	ATCC:CRL-10302	X	"11,12"	11	"12,13"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	9.3	8	17
																			
HCC3303	HCC3303	GNE:587093	X	11	14	13	"18,19"	"14,17"	35	"20,24"	15	8	"8,11"	13	24	E	7	"6,8"	"15,16"
																			
MEC-1	MEC-1	GNE:586728	"X,Y"	"11,12"	"11,12"	"9,11"	14	0	"27,29"	0	"15,19"	"10,12"	"7,11"	"13,15"	"21,25"	E	"6,8"	"8,11"	"16,17"
																			
HCC515	HCC515	GNE:586212	X	10	8	"11,13"	"9,20"	0	"29,30"	0	"15,16"	11	"7,8"	"14,15"	"20,22"	E	7	"8,11"	"15,17"
																			
Lu-24	Lu-24	RCB:1771	X	12	9	10	0	0	0	0	0	9	12	0	0	0	9	"8,9"	"14,18"
																			
CEM/C1	CEM/C1	ATCC:CRL-2265	X	11	"9,10,12"	"10,13"	0	0	0	0	0	"12,13"	"9,12"	0	0	0	"6,7"	8	"18,19"
																			
SUP-HD1	SUP-HD1	DSM:ACC-574	X	"10,11"	"11,12"	10	0	0	0	0	0	"11,12"	"10,12,11"	0	0	0	9.3	"8,11"	"14,19"
																			
UC01	0	0	"X,Y"	"11,12"	"8,11"	"9,10"	0	0	0	0	0	"11,12"	"8,10"	0	0	0	"9,10"	8	"16,18"
																			
HIRS-BM	HIRS-BM	RCB:0978	X	12	"9,11"	"9,11"	0	0	0	0	0	"11,13"	"8,11"	0	0	0	6	"8,11"	17
																			
NCI-H1581	NCI-H1581	ATCC:CRL-5878	"X,Y"	12	11	9	15	0	"29,31"	0	14	12	"9,11"	"10,14"	22	E	"6,7"	"8,9"	"15,16"
																			
NCI-H1838	NCI-H1838	GNE:131969	X	12	11	13	17	0	29	0	15	12	8	14	"20,23.2"	E	8	8	17
																			
NCI-H2373	NCI-H2373	GNE:586721	X	"11,12"	"9,12"	12	17	0	30	0	"16,18"	"11,13"	"8,11"	"12,15"	"19,22"	E	"9.3,10"	8	14
																			
RL	RL	ATCC:CRL-2261	"X,Y"	10	"8,11"	12	13	0	"29,30"	0	"16,17"	12	"10,13"	"12,14"	"23,24"	E	"9,10"	"9,11"	"19,20"
																			
LCAM1	LCAM1	RCB:1425	X	"10,12"	13	"11,13"	0	0	0	0	0	"10,13"	"10,11"	0	0	0	"7,9"	"8,12"	"15,19"
																			
CRO-AP2	CRO-AP2	DSM:ACC-48	X	"11,12"	11	11	0	0	0	0	0	12	"10,11"	0	0	0	"6,8"	"10,11"	"17,18"
																			
P30/OHK	P30/OHK	JCRB:0094	X	"9,11"	10	9	0	0	0	0	0	"11,12"	"10,11"	0	0	0	9	"10,11"	"14,21"
																			
YT	YT	DSM:ACC-434	"X,Y"	"10,11"	"9,11"	"10,12"	0	0	0	0	0	"10,11"	"11,12"	0	0	0	"6,7"	8	"17,20,18"
																			
UM-RC-6	UM-RC-6	GNE:586891	"X,Y"	"8,12"	12	"9,10"	18	"14,18.2"	28	"19,22"	16	12	"10,12"	"12,13"	22	E	6	10	18
																			
Caov-3	Caov-3	GNE:132338	X	"10,13"	12	9	18	0	30	0	16	12	10	"9,14"	24	E	7	"8,10"	"16,18"
																			
BT-549	BT-549	GNE:131456	X	"10,12"	11	8	15	0	32.2	0	18	11	"9,10"	"14,16"	19	E	9.3	8	15
																			
LAN-2	0	DSM:ACC-671	X	"10,12"	"11,12"	"9,10"	0	0	0	0	0	"11,12"	"8,10"	0	0	0	"9,3,9,3"	8	"16,18"
																			
NCI-H2722	NCI-H2722	GNE:586729	X	"10,11"	"7.2,11"	13	"11,13"	0	"29,33.2"	0	17	"9,11"	"10,11"	"11,15"	23	E	9	"8,11"	"17,18"
																			
HUC-Fm	HUC-Fm	RCB:0197	"X,Y"	"9,11"	"11,12"	"10,11"	0	0	0	0	0	"11,14"	"8,12"	0	0	0	9	"8,11"	"16,18"
																			
HMY-1	HMY-1	GNE:586618	"X,Y"	12	"11,13"	10	"14,17"	0	"30,32.2"	0	15	12	"11,14"	14	22	E	6	11	"17,19"
																			
Hs 444(B).T	0	ATCC:CRL-7800	"X,Y"	"11,12"	9	12	0	0	0	0	0	"11,12"	"8,11"	0	0	0	"7,9.3"	"8,11"	"16,18"
																			
PWS-Yamaguchi	PWS-Yamaguchi	RCB:1560	X	10	8	9	0	0	0	0	0	9	"8,12"	0	0	0	"6,9"	8	19
																			
HOMM	HOMM	RCB:1513	X	"10,12"	"10,11"	9	0	0	0	0	0	"10,11"	10	0	0	0	9	8	"17,18"
																			
Panc 08.13	Panc 08.13	GNE:586555	X	11	13	13	19	0	32.2	0	16	"13,14"	11	"10,14"	"21,23"	E	"6,9.3"	"8,12"	18
																			
CI-1	CI-1	GNE:130424	X	"10,12"	"10,12"	"8,12"	"13,17"	0	"29,30"	0	"15,17"	"11,12"	"11,13"	"14,16"	21	E	"6,9.3"	"8,11"	16
																			
NCI-BL2052	NCI-BL2052	ATCC:CRL-5963	"X,Y"	"10,11"	12	"11,13"	0	0	0	0	0	11	"11,12"	0	0	0	"7,9.3"	"8,11"	17
																			
G-402	G-402	GNE:586221	X	"10,13"	"9,12"	"11,13"	"12,16"	0	"30,31"	0	"15,17"	"11,12"	"9,10"	"14,15"	"22,27"	E	"7,9"	10	"13,17"
																			
FU-OV-1	FU-OV-1	GNE:131315	X	"10,12"	"8,10"	12	14	0	30	0	15	"11,13"	11	"11,12"	20	E	6	"8,9"	"14,19"
																			
Hs 69.Fs	Hs 69.Fs	ATCC:CRL-7047	"X,Y"	12	"9,12"	12	0	0	0	0	0	"7,9"	"8,12"	0	0	0	6	"9,12"	17
																			
HCC1739 BL	HCC1739 BL	ATCC:CRL-2334	X	"11,12"	"11,13"	"12,13"	0	0	0	0	0	"11,13"	"11,13"	0	0	0	"6,9.3"	"8,10"	"17,19"
																			
PL516	PL516	JCRB:1302	X	"11,12"	12	"9,11"	0	0	0	0	0	"9,13"	"12,13"	0	0	0	"6,9"	11	"16,18"
																			
JHUAS-2-L	JHUAS-2-L	RCB:1545	X	11	"11,14"	"9,10"	0	0	0	0	0	12	12	0	0	0	"7,9"	8	"17,18"
																			
GUMBUS	GUMBUS	DSM:ACC-630	"X,Y"	"11,12"	"12,13"	11	0	0	0	0	0	"10,13"	"8,10"	0	0	0	9.3	11	17
																			
OVCAR-8	OVCAR-8	GNE:133691	X	11	12	13	14	0	28	0	"16,18"	12	12	10	20	E	7	8	"16,17"
																			
HCC48	SH-10-TC	JCRB:0185	X	"12,13"	11	"11,13"	0	0	0	0	0	12	11	0	0	0	"7,9"	"8,11"	"16,17,18"
																			
H4	H4	ATCC:HTB-148	"X,Y"	"10,12"	12	"11,12"	0	0	0	0	0	"10,12"	"8,11"	0	0	0	"7,9"	"8,11"	"14,18"
																			
SU-DHL-10	SU-DHL-10	GNE:586001	"X,Y"	"10,13"	"10,11"	"10,11"	17	0	31	0	"15,16"	"11,12"	"8,11"	8	"22,23"	E	"8,9.3"	8	17
																			
C-4I	C-4I	ATCC:CRL-1594	X	12	"11,12"	11	0	0	0	0	0	"9,11"	"10,11"	0	0	0	9.3	"10,11"	14
																			
HIAE-65	HIAE-101	ATCC:CRL-2606	X	"10,11"	"11,14"	"11,13"	0	0	0	0	0	12	"9,12"	0	0	0	6	8	"16,18"
																			
KP-3	KP-3	JCRB:0178.0	X	12	"9,11"	"9,13"	17	0	"30,32"	0	16	13	"10,12"	"13,14"	23	E	"6,9.3"	"9,11"	"17,18"
																			
CCD-1087Sk	CCD-1087Sk	ATCC:CRL-2104	X	"11,12"	12	"10,13"	0	0	0	0	0	"11,12"	"9,10"	0	0	0	7	8	"17,19"
																			
MOR	MOR	GNE:586438	X	10	12	9	"12,20"	0	28	0	16	12	"9,12"	"12,13"	22	E	7	11	15
																			
NZM30	0	0	X	10	"11,12"	"10,12"	"12,13"	0	"24.2,31"	0	14	11	11	"13,14"	"21,22"	D	9	8	"16,17"
																			
MKN-74	MKN-74	GNE:586301	X	12	11	"9,11"	12	0	32.2	0	16	11	9	"11,16"	23	E	6	"8,11"	"16,20"
																			
PL508	PL508	JCRB:1194	X	"12,13"	"9,12"	"11,13"	0	0	0	0	0	"12,13"	"10,11"	0	0	0	"7,9"	11	"14,17"
																			
OUMS-36T-5F	OUMS-36T-5F	JCRB:1006.5F	X	12	"8,11"	"9,10"	0	0	0	0	0	"10,12"	11	0	0	0	"6,9"	8	"18,21"
																			
BL-2	BL-2	DSM:ACC-625	"X,Y"	"11,13"	"11,12"	12	0	0	0	0	0	12	"8,12"	0	0	0	6	"8,11"	"15,16"
																			
KINGS-1	KINGS-1	GNE:586964	"X,Y"	12	8	"9,11"	"18,26"	"13,14"	"30,31"	"17,19"	15	"11,13"	"10,12"	"11,16"	"23,24"	E	"7,9"	"8,11"	"14,17"
																			
a508	0	JCRB:PSCCA0508	"X,Y"	"10,11"	"12,13"	"9,11"	0	0	0	0	0	"10,11"	"10,11"	0	0	0	"6,7"	"8,11,13"	"13,14,16"
																			
Hs 45.Fs	Hs 45.Fs	ATCC:CRL-7025	"X,Y"	"10,12"	"8,11"	"11,14"	0	0	0	0	0	"10,13"	"10,11"	0	0	0	"7,9.3"	"8,9"	"14,16"
																			
SK-MM-2	SK-MM-2	GNE:586546	X	"10,12"	10	11	11	0	"30,31.2"	0	16	"9,11"	"8,11"	"12,13"	21	E	6	"8,11"	"14,20"
																			
NCI-H1339	NCI-H1339	GNE:586367	X	12	12	"12,13"	"13,15"	0	32	0	"17,18"	13	12	"14,16"	"22,23"	E	"7,9"	"6,12"	15
																			
WA09	0	0	X	11	9	"12,13"	0	0	0	0	0	"11,12"	"9,11"	0	0	0	9.3	"10,11"	17
																			
Het-1A	Het-1A	ATCC:CRL-2692	"X,Y"	"10,12"	11	"9,11"	0	0	0	0	0	"11,12"	9	0	0	0	7	11	16
																			
HFL-II	HFL-II	RCB:0522	"X,Y"	12	"8,11"	"9,11"	0	0	0	0	0	"9,12"	"11,12"	0	0	0	"9,9.3"	"10,11"	"18,19"
																			
PL507	PL507	JCRB:1130	X	"11,12"	11	9	0	0	0	0	0	"9,11"	"8,12"	0	0	0	"7,9"	8	"14,19"
																			
NCI-H1755	NCI-H1755	ATCC:CRL-5892	X	12	"10,12"	"11,12"	0	0	0	0	0	"11,12"	12	0	0	0	7	8	18
																			
UE6E7TC-4	UE7T-13	0	X	"10,11"	"9,14"	"9,11"	0	0	0	0	0	"11,12"	"10,13"	0	0	0	"7,9"	"8,11"	"15,16"
																			
HTLA230	0	0	"X,Y"	"10,12"	"11,14"	12	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"6,9"	11	"16,19"
																			
NCU-F1	NCU-F1	RCB:0388	X	"10,12"	"8,12"	"9,10"	0	0	0	0	0	13	"11,12"	0	0	0	"6,9"	"8,9"	"16,17"
																			
RI-1	RI-1	GNE:134164	X	11	"9,14"	"11,12"	16	0	30	0	16	11	"9,13"	"10,13"	"22,25"	E	6	8	17
																			
SW 780	SW 780	GNE:586130	X	"10,11"	"11,12"	"9,11"	15	0	"29,30"	0	"16,18"	"11,12"	"9,10"	13	"19,20"	E	6	8	"16,19"
																			
LIM 1215	0	0	"X,Y"	10	"8,12"	"8,12"	"12,18"	"10,15.2"	"29,31"	"16,21"	"15,16"	"9,12"	"9,10.3*"	13	"21,23,24"	0	"9.3,10"	8	16
																			
SF8653	SF8653	RCB:0600	X	"10,12"	"11,12"	"10,12"	0	0	0	0	0	13	8	0	0	0	"6,9"	"8,11"	"14,16"
																			
JHH-2	JHH-2	GNE:586138	"X,Y"	"12,13"	12	"10,13"	13	0	"29,32.2"	0	17	"9,13"	10	"11,16"	"21,24"	E	"6,7"	8	14
																			
HNE-1	HNE-1	GNE:134239	X	"10,11"	"10,12,13.3"	"9,10,11"	"13,16"	13	"27,30"	"17,23"	"15,18"	"11,12"	"10,12"	"12,17"	"18,21"	E	"6,9"	"8,12"	"14,16"
																			
COLO 205	COLO 201	GNE:130877	X	"11,12"	"10,12"	"12,13"	18	0	"30.2,33.2"	0	16	"10,13"	"9,10"	"9,14"	"21,23"	E	"8,9"	11	15
																			
NCI-H23	NCI-H23	GNE:129190	X	10	12	"9,11"	"14,16"	0	30	0	15	12	"9,10"	15	24	E	6	"8,9"	"16,17"
																			
Yub635	Yub635	JCRB:1162	X	"9,12"	"9,11"	"9,11"	0	0	0	0	0	"10,11"	"8,9"	0	0	0	6	"8,11"	"16,19"
																			
Hs 343.T	Hs 343.T	ATCC:CRL-7245	X	11	"8,12"	12	0	0	0	0	0	13	"7,10"	0	0	0	"9,9.3"	11	"15,17"
																			
MM415	0	0	"X,Y"	11	"9,13"	11	"14,20"	"14,15.2"	"27,28"	"17,19"	"14,15"	11	"9,11"	14	"23,25"	0	"6,9"	"8,11"	18
																			
HEC-265	HEC-265	GNE:586958	X	"11,12"	"11,12"	11	"15,18"	"14,16.2"	30	"22,24"	"14,15"	"10,12"	"10,11"	"14,15,16"	"20,22,23"	E	9	"9,11"	"19,22"
																			
GB-1	GB-1	GNE:586927	X	"10,12"	11	9	"13,14"	"13,15.2"	30	"20,22"	"15,16"	"10,13"	"11,12"	16	23.2	E	"6,7"	"8,11"	"16,17"
																			
RERF-LC-Sq1	RERF-LC-Sq1	JCRB:1019	X	"9,11"	9	"9,11"	0	0	0	0	0	13	"11,12"	0	0	0	9	"8,11"	17
																			
Hs 93.T	Hs 93.T	ATCC:CRL-7062	"X,Y"	"10,12"	"11,12"	11	0	0	0	0	0	"10,11"	"11,13"	0	0	0	"7,9"	"8,9"	"14,16"
																			
PA-TU-8988T	PA-TU-8988T	GNE:586274	X	"11,13"	"12,13"	"11,12"	12	0	26	0	"15,17"	"11,13"	"7,8"	"13,16"	23	E	6	"8,11"	16
																			
Kasumi-6	Kasumi-6	ATCC:CRL-2775	"X,Y"	"10,12"	"8,12"	"9,10"	0	0	0	0	0	11	"9,11"	0	0	0	"6,9"	"8,9"	17
																			
87-5	87-5	RCB:2092	"X,Y"	"12,13"	12	"13,14"	0	0	0	0	0	13	"10,11,12"	0	0	0	"6,9"	"8,11"	"16,17,18"
																			
HKBML	HKBML	RCB:0820	"X,Y"	"10,11"	"9,12"	"9,13"	0	0	0	0	0	"10,11"	"11,12"	0	0	0	"7,9"	"9,11"	"14,17"
																			
Yub625	Yub625	JCRB:1155	"X,Y"	"9,12"	12	"9,10"	0	0	0	0	0	"12,13"	"10,11"	0	0	0	"6,9.3"	"8,11"	"14,18"
																			
HCC1314	HCC1314	GNE:586426	"X,Y"	"10,11"	"8,11"	"9,11"	"13,15"	0	"29,30"	0	"15,17"	"10,13"	"10,12"	"10,13"	22	E	6	"9,11"	18
																			
SU-DHL-5	SU-DHL-5	GNE:132798	X	"11,13"	12	"11,13"	"13,15"	0	"28,30"	0	"15,16"	"12,15"	10	"13,15"	"22,23"	E	"6,9"	8	17
																			
CAL-62	0	DSM:ACC-448	X	"9,12"	12	"12,13"	0	0	0	0	0	"9,12"	10	0	0	0	"7,9"	"8,9"	16
																			
MCF-10-2F	MCF10DCIS.com	ATCC:CRL-10780	X	"10,12"	8	"11,12"	0	0	0	0	0	"10,13"	"10,11"	0	0	0	8	"9,11"	"15,17"
																			
Hs 228.T	Hs 228.T	ATCC:CRL-7193	X	"11,12"	"8,9"	"11,12"	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"8,9.3"	"8,11"	"14,18"
																			
NCI-H295	NCI-H295	ATCC:CRL-10296	X	"10,12"	13	11	0	0	0	0	0	12	"9,12"	0	0	0	9.3	8	"17,18"
																			
CEM/MX1	0	ATCC:CRL-2259	X	"10,11,13,14"	"8,11,12"	"10,11,13"	0	0	0	0	0	"11,12"	"9,11,12,13"	0	0	0	"6,7,8"	"8,11"	"16,18,19"
																			
J.CaM1.6	J.CaM1.6	ATCC:CRL-2063	"X,Y"	11	"8,12"	"10,11"	0	0	0	0	0	9	"8,10"	0	0	0	"6,9.3"	"8,10"	"18,19"
																			
JHTSK-col-L	JHTSK-col-L	RCB:1708	"X,Y"	"10,12"	"8,12"	9	0	0	0	0	0	"9,10"	11	0	0	0	"6,7"	"8,11"	"16,17"
																			
D341 Med	D341 Med	ATCC:HTB-187	"X,Y"	"10,11"	"11,13"	"12,14"	0	0	0	0	0	"11,12"	"9,13"	0	0	0	"6,9.3"	"8,11"	"17,18"
																			
G141	G118	GNE:132480	X	12	11	"11,12"	12	0	"30.2,31.2"	0	"15,18"	12	"8,11"	"14,16"	"19,20"	E	"7,9.3"	"8,11"	14
																			
L-540	L-540	DSM:ACC-72	X	"11,13"	9	"11,13"	0	0	0	0	0	"11,13"	"11,12"	0	0	0	"7,9"	"9,10"	"17,18"
																			
NCI-H1436	NCI-H1436	GNE:586470	X	"11,12"	12	13	"14,17"	0	"30.2,32.2"	0	17	"11,13"	"9,11"	"8,13"	"19,21"	E	"7,9.3"	"9,11"	"17,18"
																			
FU-RPNT-1	FU-RPNT-1	RCB:1495	"X,Y"	"10,11"	"9,12"	"11,12"	0	0	0	0	0	11	"10,12"	0	0	0	"6,7"	"9,11"	"15,18"
																			
NCI-H1915	NCI-H1915	GNE:586403	X	11	11	9	11	0	27	0	"15,18"	12	"11,12"	10	20	E	"6,9"	"8,11"	"15,18"
																			
HCC1623	HCC1623	GNE:586845	X	"10,11"	"11,14"	9	"18,19"	"14,16.2"	"28,31"	"19,23"	"15,18"	"12,13"	"9,11"	"13,15"	"21.2,27"	E	8	"8,11"	"13,17"
																			
HBE4-E6/E7-C1	HBE4-E6/E7-C1	ATCC:CRL-2079	X	"11,12"	"11,12"	"11,13"	0	0	0	0	0	"10,11"	"10,11"	0	0	0	"6,8"	8	"14,17"
																			
H-1963	0	DSM:ACC-540	X	12	"11,13"	11	0	0	0	0	0	12	"10,12"	0	0	0	"6,8"	"8,10"	"17,20"
																			
HCC2688	HCC2688	GNE:586179	X	10	8	12	13	0	"27,31.2"	0	15	13	9	13	20	E	6	8	"14,15"
																			
ECC12	ECC12	RCB:1009	"X,Y"	11	12	"9,11"	0	0	0	0	0	13	"10,11"	0	0	0	9	11	"16,19"
																			
Hs 172.T	Hs 172.T	ATCC:CRL-7833	"X,Y"	"11,12"	12	13	0	0	0	0	0	11	"8,11"	0	0	0	9.3	"9,11"	"18,21"
																			
GAK	GAK	GNE:586616	X	10	"9,13"	12	13	"14,15"	"29,30"	"18,20"	16	10	11	"10,11"	24	E	7	"8,9"	"15,18"
																			
HT-115	HT-115	GNE:586517	X	"7,12"	13	10	"12,15"	0	"30,32.2"	0	17	12	"11,12"	"13,15"	"19,20"	E	"6,9"	8	18
																			
SF8758	SF8758	RCB:0596	X	12	"8,12"	"9,13"	0	0	0	0	0	"10,12"	"8,13"	0	0	0	"8,9"	11	"14,16"
																			
KOSC-2 cl3-43	KOSC-2 cl3-43	JCRB:0126.1	X	12	11	"9,12"	0	0	0	0	0	9	"10,11"	0	0	0	"6,7"	8	"15,17"
																			
SR-786	SR-786	DSM:ACC-369	X	"14,15"	"11,13"	"11,13"	0	0	0	0	0	11	"9,12"	0	0	0	"6,7"	"8,11"	"17,18"
																			
COR-L64	COR-L64	GNE:586439	"X,Y"	"10,11"	12	"12,13"	"12,19"	0	30	0	"14,15"	"12,13"	10	"11,15"	22	E	"6,7"	"8,9"	"18,19"
																			
NCU-F10	NCU-F10	RCB:0397	X	"9,12"	"10,12"	"9,12"	0	0	0	0	0	"9,12"	11	0	0	0	7	8	"14,18"
																			
20H11	20H11	ATCC:CRL-9300	"X,Y"	"12,14"	"8,12"	"11,12"	0	0	0	0	0	12	"10,11"	0	0	0	"6,9.3"	"8,11"	"17,19"
																			
HCC1493	HCC1493	GNE:586395	X	"12,13"	"11,12"	"8,9"	"11,17"	0	30	0	"15,17"	11	"8,11"	"8,14"	"21,23"	E	"6,8"	"8,11"	17
																			
KHM-1B	KHM-1B	GNE:586545	X	10	11	9	"16,18"	0	"30,31"	0	15	11	10	"11,12"	24	E	6	11	"14,17"
																			
SF539	SF539	GNE:132763	X	"11,13"	12	"11,12"	20	0	29	0	15	14	11	"15,17"	"20,21"	E	"7,8"	"9,10"	"16,17"
																			
MM386	0	0	"X,Y"	"12,14"	"8,12"	11	12	14	"30,32"	26	15	"11,13"	"8,9"	13	"20,22"	0	"6,8"	"8,9"	"16,19"
																			
HCC1347	HCC1347	GNE:587049	X	"10,12"	11	"11,13"	"14,19"	0	"29,31.2"	0	17	11	"8,10"	"13,14"	"20,23"	E	"8,9"	"8,10"	"15,16"
																			
CCD-43Sk	CCD-43Sk	ATCC:CRL-1509	"X,Y"	"12,14"	"11,13"	"9,15"	0	0	0	0	0	"12,13"	"12,13"	0	0	0	7	"8,11"	"15,17"
																			
NCCIT	NCCIT	ATCC:CRL-2073	X	"10,12"	11	"9,12"	0	0	0	0	0	"10,13"	10	0	0	0	"7,9"	8	"14,18"
																			
HE51	HE51	RCB:2267	X	12	"9,12"	"9,12"	0	0	0	0	0	"11,13"	"10,12"	0	0	0	"6,8"	8	14
																			
SJCRH30	SJCRH30	ATCC:CRL-2061	"X,Y"	"10,11"	11	12	"15,16"	0	31.2	0	15	"12,13"	10	"12,15"	22	E	"9,9.3"	"8,11"	"17,18"
																			
B1203L	B1203L	RCB:2818	X	11	12	11	0	0	0	0	0	11	"11,12"	0	0	0	9	"9,10"	18
																			
DMS 53	DMS 53	GNE:586481	X	12	10	"12,13"	"15,16"	0	33.2	0	15	"10,11"	"8,11"	12	20	E	"8,9.3"	12	"15,17"
																			
NCI-H69	NCI-H69	GNE:586324	"X,Y"	"10,13"	12	11	"12,15"	0	"30,31.2"	0	16	"11,13"	9	13	24	E	"8,9"	10	17
																			
KELLY	KELLY	GNE:586321	X	12	14	"12,13"	"14,17"	0	"28,30"	0	"14,16"	"11,13"	9	14	"20,21"	E	9.3	"8,10"	18
																			
NCC-RbC-67	NCC-RbC-67	JCRB:1214	X	"11,12"	11	"9,12"	0	0	0	0	0	"8,12"	10	0	0	0	"6,7"	"8,11"	"16,18"
																			
Sal Mat	Sal Mat	ATCC:CRL-1110	"X,Y"	"7,11"	"9,12"	"11,12"	0	0	0	0	0	"11,12"	"8,11"	0	0	0	"7,9"	"7,8"	"16,18"
																			
SU-DHL-1	SU-DHL-1	GNE:131991	"X,Y"	12	"9,13"	"11,12"	15	0	"29,30"	0	15	"11,12"	"10,13"	11	21	E	"6,7"	8	"15,17"
																			
CJM	T3M-1	RCB:1034	"X,Y"	"10,12"	11	"9,12"	0	0	0	0	0	"10,13"	"12,13"	0	0	0	"7,9"	11	"16,18"
																			
JVM-3	JVM-3	DSM:ACC-18	"X,Y"	"10,12"	13	"11,12"	0	0	0	0	0	11	10	0	0	0	"9,9.3"	"8,9"	"18,19,17"
																			
Loucy	Loucy	ATCC:CRL-2629	X	"11,12"	"11,13"	11	0	0	0	0	0	12	"9,10"	0	0	0	"8,9.3"	"8,9"	"16,17"
																			
Hs 834.T	Hs 834.T	ATCC:CRL-7568	X	12	"9,12"	"9,11"	0	0	0	0	0	11	"9,10"	0	0	0	"6,7"	"8,11"	16
																			
