cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
MHH-CALL-3	MHH-CALL-3	DSM:ACC-339	X	"10,12"	"12,13"	11	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"6,8"	"8,10"	16
																			
T3M-12	T3M-12	RCB:2281	"X,Y"	10	13	"9,11"	0	0	0	0	0	11	"10,11"	0	0	0	7	8	"15,16"
																			
305M	305M	RCB:0156	X	"11,12"	"8,12"	"10,12"	0	0	0	0	0	11	11	0	0	0	"6,9"	"8,11"	"14,17"
																			
HuO9N2	HuO9N2	GNE:586870	X	"10,11"	11	11	13	0	28	0	16	13	10	15	24	E	9	9	14
																			
SC-1	SC-1	ATCC:CRL-8756	"X,Y"	"7.3,10"	"11,12"	"10,11"	17	0	"28,29"	0	"15,16"	"11,12"	"8,10"	"10,14"	"18,24"	E	7	"6,9"	14
																			
Hs 697.Sp	Hs 697.Sp	ATCC:CRL-7433	"X,Y"	11	"9,11"	"9,12"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"7,8"	"8,9"	17
																			
CCD 1109SK	0	ATCC:CRL-2361	"X,Y"	"11,12"	"8,11"	12	0	0	0	0	0	"11,13"	"10,11"	0	0	0	"6,9"	"8,11"	"16,17"
																			
MDA-MB-435	MDA-MB-435	GNE:131111	X	11	12	13	13	0	30	0	14	12	"8,10"	13	21	E	"6,7"	"8,11"	"16,18"
																			
OVSAHO	OVSAHO	GNE:586711	X	"10,12"	8	9	"16,20"	0	31	0	15	"12,13"	"8,10"	14	24	E	6	"8,11"	14
																			
HE33	HE33	RCB:2250	"X,Y"	"10,12"	"11,12"	"9,11"	0	0	0	0	0	12	"10,12"	0	0	0	"7,8"	"8,11"	"17,18"
																			
PL517	0	JCRB:1306	"X,Y"	12	"8,12"	"10,11"	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"7,9"	8	"17,18"
																			
JHUCS-1	JHUCS-1	RCB:1547	X	"10,13"	"8,12"	12	0	0	0	0	0	"10,11"	"8,13"	0	0	0	"7,9"	"11,12"	18
																			
HEC-1-A-OZA1	HEC-1	0	X	"10,13"	"11,13"	13	0	0	0	0	0	"11,13,16"	"9,11"	0	0	0	"6,7"	"8,11"	"19,24"
																			
RMG-II	RMG-II	JCRB:0172.1	X	10	14	"10,12"	0	0	0	0	0	11	"10,12"	0	0	0	7	8	"15,17"
																			
HF19	HF19	RCB:0210	X	"10,13"	"9,13"	"13,14"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"6,7"	"8,11"	"14,18"
																			
AGR-ON	AGR-ON	ATCC:CRL-8199	X	"10,11"	"11,13"	"10,13"	0	0	0	0	0	12	"10,13"	0	0	0	"6,7"	8	"17,19"
																			
THEECs	0	ATCC:CRL-4026	X	"10,11"	"8,10,12"	"9,12"	0	0	0	0	0	"11,12,13"	"9,10,11,12"	0	0	0	"7,8,9"	"8,10"	"14,15,18,19"
																			
CHON-001	0	ATCC:CRL-2846	X	"10,11"	"12,14"	"11,13"	0	0	0	0	0	"11,12"	12	0	0	0	"6,7"	"8,11"	"16,17"
																			
TF-1a	TF-1	ATCC:CRL-2451	"X,Y"	13	"8,9"	"9,12"	0	0	0	0	0	13	12	0	0	0	"7,9"	8	"15,17"
																			
Hs 456.Sk	Hs 456.Sk	ATCC:CRL-7804	X	"10,12"	"12,13"	"9,12"	0	0	0	0	0	"11,13"	10	0	0	0	9.3	"8,11"	"17,18"
																			
RERF-LC-Ad1	RERF-LC-Ad1	JCRB:1020	X	"12,13"	13	"9,12"	0	0	0	0	0	12	"11,12"	0	0	0	"6,9"	"8,11"	"14,17"
																			
RD	RD	ATCC:CCL-136	X	"10,11"	13	"10,11"	0	0	0	0	0	11	"8,12"	0	0	0	9.3	9	18
																			
BT-20	BT-20	GNE:131935	X	12	11	11	17	0	"28,29"	0	17	12	10	12	"22,24"	E	"7,9.3"	11	"16,17"
																			
Hs 48.Fs	Hs 48.Fs	ATCC:CRL-7027	"X,Y"	"10,12"	12	12	0	0	0	0	0	13	8	0	0	0	"8,9"	"9,11"	"15,17"
																			
UACC-812	UACC-812	ATCC:CRL-1897	X	11	12	"8,11"	"14,20"	0	"29,32.2"	0	17	"11,12"	"9,12"	"12,15"	25	E	9	"8,11"	16
																			
HUC-F	HUC-F	RCB:0153	X	"11,13"	"8,11"	9	0	0	0	0	0	10	"11,13"	0	0	0	"8,9"	"8,9"	14
																			
TCCSUP	TCCSUP	ATCC:HTB-5	X	10	"11,14"	"9,11"	0	0	0	0	0	12	"8,9"	0	0	0	"6,9.3"	8	"14,16"
																			
HEC-6	HEC-6	GNE:586953	X	"9,10,13"	"11,12"	"8,10"	"12,13"	14	"27.2,29"	"21,23"	"16,17"	"13,14,15"	"8,9,11,12"	"9,10,12"	"20,21,22"	E	"6,10"	"8,9,10"	"16,18"
																			
Hs 769.T	Hs 769.T	ATCC:CRL-7882	X	10	"12,14"	9	0	0	0	0	0	"11,12"	"8,10"	0	0	0	"7,8"	8	15
																			
Hs 483.T	Hs 483.T	ATCC:CRL-7814	"X,Y"	"10,12"	12	"12,13"	0	0	0	0	0	"12,13"	10	0	0	0	"8,9.3"	8	"14,18"
																			
DU-4475	DU4475	DSM:ACC-427	X	"9,12"	"11,14"	"11,12"	0	0	0	0	0	"6,11"	"9,10"	0	0	0	"6,8"	8	17
																			
DERL-2	DERL-2	DSM:ACC-531	"X,Y"	"11,12"	"11,12"	"10,11"	0	0	0	0	0	"10,11"	"11,12"	0	0	0	9	"8,11"	"17,19"
																			
EFM-192A	EFM-192A	GNE:130841	X	"12,13"	"9,14"	"8,13"	17	0	32.2	0	16	"12,13"	"8,11"	"9,15"	"20,22"	E	7	"8,10"	16
																			
